"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230"
"1",0.5,0,0,1,0,1,1,0,2,1,0,0,5,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,1,0,2,0,1,1,1,0,0,2,0,6,0,1,1,0,3,5,0,1,2,0,1,1,1,0,1,0,0,7,0,0,0,6,0,3,1,0,0,0,0,4,0,1,0,0,8,0,15,0,0,0,6,0,0,1,3,17,9,0,4,0,0,0,2,18,28,13,0,5,0,6,5,3,0,0,0,3,4,5,0,0,0,0,1,0,0,0,0,2,0,0,1,0,20,1,0,4,13,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,3,0,3,0,0,0,0,1,0,0,3,0,0,0,1,3,2,0,0,0,0,2,3,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,11,4,8,11,3,7,4,2,0,1,0,0,0,0,16,0,1,0,0,0,0
"2",1,0,1,0,0,1,0,0,8,5,2,0,2,0,0,11,0,1,1,0,0,5,0,3,0,0,2,0,0,0,0,5,0,1,0,4,0,0,1,4,3,0,2,0,0,0,0,1,0,8,0,0,0,0,0,3,0,0,7,0,2,2,3,0,6,4,0,0,1,0,1,4,0,0,7,5,0,21,0,0,0,1,0,0,6,5,11,13,0,5,0,0,0,1,22,26,17,0,5,0,3,1,1,0,1,21,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,3,0,7,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,2,0,0,0,0,8,4,5,8,5,7,6,3,0,2,0,0,0,0,0,0,2,0,0,0,0
"3",0,1,1,0,0,4,0,0,3,2,1,0,6,0,0,1,0,1,4,1,0,7,0,0,0,0,4,0,0,0,0,6,0,7,0,2,0,0,0,7,5,0,1,1,0,1,0,0,0,10,3,3,1,0,0,0,1,0,2,0,2,1,3,1,6,5,0,1,0,0,1,9,0,0,1,4,0,33,0,0,0,17,0,0,6,4,12,8,0,5,0,0,0,1,34,17,11,0,7,2,1,16,3,1,0,0,3,4,2,7,0,0,0,3,0,0,0,0,4,0,0,0,0,20,0,0,4,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,2,7,2,0,4,0,0,1,2,1,3,2,1,0,2,1,2,8,3,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,2,0,0,0,15,3,10,12,3,4,7,6,9,7,0,0,0,0,4,0,18,0,0,0,0
"4",0,0.5,2,2,0,9,2,0,3,0,2,0,6,0,0,0,0,1,4,0,0,1,0,1,0,0,5,0,0,1,0,5,0,4,0,2,2,0,0,4,4,0,1,0,0,0,19,0,0,6,0,0,0,0,0,0,0,0,4,0,1,2,5,0,2,7,0,0,0,0,2,0,0,0,1,0,0,19,0,3,0,5,0,0,4,3,21,12,0,5,0,0,0,9,33,21,17,0,3,1,2,7,3,0,0,1,10,6,1,0,0,0,0,4,0,0,1,0,2,0,0,0,0,10,1,0,2,10,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,3,2,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,2,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,18,4,10,12,2,7,6,1,0,2,0,0,0,0,6,0,9,0,0,0,0
"5",0.25,1,0,0,0,7,0,0,3,2,0,0,8,0,0,1,0,0,3,0,0,5,1,2,0,0,2,1,0,0,0,4,0,7,0,0,0,0,0,5,6,0,0,0,0,1,3,0,0,7,1,2,0,0,0,0,2,0,1,0,0,3,4,0,3,2,1,2,0,0,3,0,0,0,1,3,0,19,0,3,0,8,0,0,7,3,7,7,0,4,0,0,0,1,31,14,21,0,8,0,6,8,3,0,0,3,2,2,3,0,0,0,0,2,0,0,0,0,1,1,0,0,0,17,1,0,7,7,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,2,0,0,0,1,0,0,1,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,23,5,10,11,2,5,5,0,1,2,0,0,1,0,0,1,11,0,0,0,0
"6",0,0,0,0,0,10,0,0,4,4,0,0,5,0,0,5,0,0,2,0,0,1,0,7,0,1,3,0,0,1,0,4,0,1,0,2,1,0,0,0,2,0,0,1,4,2,5,0,0,4,1,2,2,0,1,2,0,0,2,0,1,2,2,0,1,2,0,0,0,0,1,0,0,0,0,1,0,11,0,2,0,2,0,0,3,5,9,14,0,1,0,0,0,4,13,9,9,0,3,0,6,3,3,0,0,0,3,0,7,0,0,0,0,2,0,0,0,1,5,0,0,0,1,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,2,4,1,2,8,7,5,2,3,0,0,0,0,8,0,6,0,0,0,0
"7",0.5,0.5,0,2,0,4,0,0,4,1,3,0,5,1,0,5,0,1,2,0,0,1,0,7,0,1,3,1,0,0,0,5,0,2,0,5,0,0,0,1,2,0,2,0,0,0,9,1,0,9,5,7,0,0,0,0,0,0,2,0,3,3,2,0,1,3,0,0,0,0,4,0,0,0,0,3,0,14,0,0,0,6,0,0,4,4,10,7,0,2,0,0,0,3,19,17,15,0,5,0,4,9,4,0,1,0,0,4,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,15,2,0,5,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,7,1,0,1,0,0,1,0,1,2,0,0,0,0,2,2,5,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,2,0,0,0,13,2,8,7,4,7,5,1,1,2,0,0,0,0,7,0,7,0,0,0,0
"8",0,0.25,0,3,0,13,0,0,5,0,1,0,6,0,0,9,0,0,4,0,0,0,0,1,0,1,1,1,0,2,0,2,0,1,0,4,0,1,0,0,3,0,2,0,0,1,4,0,0,4,0,4,0,0,1,0,1,0,6,0,7,3,3,0,8,4,0,1,1,1,0,2,0,0,3,4,0,17,1,5,0,4,0,0,2,13,8,6,0,2,0,0,0,1,28,20,10,0,1,1,4,11,2,0,0,0,5,3,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,18,0,0,5,6,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,3,0,0,0,2,0,1,5,0,0,1,3,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,14,3,10,8,1,7,6,6,2,2,0,0,0,0,0,1,7,0,0,1,0
"9",0,1,0,1,0,8,0,0,3,6,4,0,0,0,0,2,0,1,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,4,0,4,0,0,0,5,3,0,0,0,1,0,7,0,0,6,1,2,0,0,0,1,0,0,2,0,0,5,1,0,4,2,1,0,1,0,2,10,0,0,1,7,0,16,0,1,0,1,0,0,5,3,7,9,0,4,0,0,0,1,32,12,12,0,4,1,2,8,0,0,1,0,30,3,4,0,0,0,0,4,0,0,0,0,2,1,0,0,0,22,3,0,5,14,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,7,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,0,0,0,0,13,3,10,9,1,5,4,1,0,1,0,0,0,0,3,0,8,0,0,0,0
"10",0.5,0,0,2,0,14,0,0,6,0,10,0,4,0,0,7,0,1,2,0,0,1,0,1,0,1,0,0,0,4,0,7,0,5,0,2,0,0,0,3,3,0,1,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,2,0,0,3,3,0,3,1,0,1,0,0,1,0,0,0,0,4,0,17,1,2,0,3,0,0,7,8,8,10,0,2,0,0,0,0,10,15,6,0,6,2,6,8,5,0,0,1,2,4,7,1,0,0,0,2,0,0,0,0,0,1,0,1,0,17,1,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,3,0,0,2,0,2,1,0,0,4,2,2,0,1,5,6,3,0,0,0,2,3,0,0,2,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,5,3,5,11,1,6,5,2,0,6,0,0,0,0,1,0,12,0,0,3,0
