V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101
0.0,0.0,0.2112676056338028,1.2535211267605635,0.5070422535211268,0.323943661971831,0.1267605633802817,0.028169014084507043,0.07042253521126761,0.6338028169014085,0.0,2.0422535211267605,0.07042253521126761,0.23943661971830985,1.0140845070422535,0.0,0.9295774647887324,0.1267605633802817,0.056338028169014086,1.1267605633802817,0.352112676056338,0.04225352112676056,0.11267605633802817,0.11267605633802817,1.0422535211267605,0.5492957746478874,0.323943661971831,0.323943661971831,0.676056338028169,1.5070422535211268,0.8732394366197183,0.4225352112676056,0.7464788732394366,0.2112676056338028,0.1267605633802817,0.23943661971830985,0.28169014084507044,1.1690140845070423,0.04225352112676056,0.0,2.4788732394366195,0.04225352112676056,0.09859154929577464,0.056338028169014086,0.04225352112676056,0.014084507042253521,0.6338028169014085,0.11267605633802817,0.4788732394366197,0.323943661971831,0.5915492957746479,0.19718309859154928,0.056338028169014086,0.04225352112676056,0.014084507042253521,0.04225352112676056,0.16901408450704225,0.22535211267605634,0.014084507042253521,0.8873239436619719,0.36619718309859156,0.056338028169014086,0.14084507042253522,0.38028169014084506,0.0,0.43661971830985913,0.4788732394366197,0.11267605633802817,2.915492957746479,0.6901408450704225,0.9014084507042254,2.1549295774647885,0.8732394366197183,0.4788732394366197,0.014084507042253521,0.15492957746478872,0.19718309859154928,0.056338028169014086,0.15492957746478872,0.4507042253521127,0.4225352112676056,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.14084507042253522,0.16901408450704225,1.1830985915492958,0.5352112676056338,0.352112676056338,1.4647887323943662,0.08450704225352113,0.07042253521126761,0.30985915492957744,0.014084507042253521,0.028169014084507043,0.11267605633802817,0.08450704225352113,0.07042253521126761,0.7605633802816901,4.774647887323944,0.7464788732394366
0.0,0.25,1.0,1.5555555555555556,1.8888888888888888,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.6666666666666666,0.0,3.0,0.0,0.2222222222222222,0.8888888888888888,0.0,1.5555555555555556,0.2222222222222222,0.2222222222222222,1.3333333333333333,0.0,0.2222222222222222,0.0,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.4444444444444444,0.1111111111111111,1.4444444444444444,0.3333333333333333,1.5555555555555556,0.2222222222222222,1.8888888888888888,0.1111111111111111,0.0,0.3333333333333333,0.5555555555555556,1.1111111111111112,0.1111111111111111,0.0,2.4444444444444446,0.4444444444444444,0.1111111111111111,0.0,0.0,0.1111111111111111,0.7777777777777778,0.6666666666666666,0.8888888888888888,0.2222222222222222,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.1111111111111111,1.4444444444444444,0.0,1.1111111111111112,0.6666666666666666,0.0,0.2222222222222222,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444,0.0,3.0,1.2222222222222223,1.0,2.3333333333333335,0.4444444444444444,0.5555555555555556,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.3333333333333333,0.8888888888888888,0.1111111111111111,1.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.8888888888888888,4.0,2.3333333333333335
0.0,0.5,0.46153846153846156,1.6153846153846154,1.1538461538461537,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,1.0,0.0,3.5384615384615383,0.15384615384615385,0.3076923076923077,1.4615384615384615,0.23076923076923078,1.3076923076923077,0.07692307692307693,0.6153846153846154,2.6153846153846154,0.15384615384615385,0.0,0.0,0.0,1.6153846153846154,0.3076923076923077,0.6923076923076923,0.38461538461538464,1.1538461538461537,1.2307692307692308,1.6153846153846154,1.0,1.0,0.46153846153846156,0.0,0.5384615384615384,0.46153846153846156,1.0,0.0,0.0,2.4615384615384617,0.0,0.3076923076923077,0.0,0.0,0.07692307692307693,0.9230769230769231,0.6923076923076923,1.2307692307692308,0.6923076923076923,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.0,0.0,0.07692307692307693,1.3846153846153846,0.0,2.0,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.0,0.6153846153846154,0.6923076923076923,0.07692307692307693,2.6153846153846154,1.3846153846153846,1.3076923076923077,1.9230769230769231,1.3846153846153846,0.5384615384615384,0.0,0.0,0.5384615384615384,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.7692307692307693,0.0,0.0,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.9230769230769231,0.23076923076923078,2.1538461538461537,0.0,0.07692307692307693,0.23076923076923078,0.0,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.15384615384615385,1.5384615384615385,4.230769230769231,0.6923076923076923
0.0,1.0,0.47368421052631576,1.4210526315789473,1.631578947368421,0.2631578947368421,0.05263157894736842,0.10526315789473684,0.3157894736842105,1.0526315789473684,0.0,3.0,0.05263157894736842,0.3684210526315789,1.631578947368421,0.0,1.263157894736842,0.15789473684210525,0.2631578947368421,1.5263157894736843,0.5789473684210527,0.0,0.15789473684210525,0.2631578947368421,1.105263157894737,0.47368421052631576,0.8947368421052632,0.2631578947368421,1.3157894736842106,0.8947368421052632,1.3157894736842106,0.5789473684210527,0.6842105263157895,0.15789473684210525,0.42105263157894735,0.3684210526315789,0.3684210526315789,0.8421052631578947,0.05263157894736842,0.0,3.8421052631578947,0.0,0.21052631578947367,0.15789473684210525,0.0,0.05263157894736842,1.0526315789473684,0.6842105263157895,1.368421052631579,0.47368421052631576,0.631578947368421,0.47368421052631576,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.15789473684210525,1.368421052631579,0.05263157894736842,1.4736842105263157,0.42105263157894735,0.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.7368421052631579,0.5789473684210527,0.0,2.6315789473684212,0.7894736842105263,1.1578947368421053,1.5789473684210527,0.631578947368421,0.9473684210526315,0.10526315789473684,0.3684210526315789,0.5263157894736842,0.15789473684210525,0.21052631578947367,0.42105263157894735,0.3157894736842105,0.0,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.3684210526315789,0.8947368421052632,0.631578947368421,0.3684210526315789,1.736842105263158,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.3684210526315789,0.0,1.263157894736842,4.578947368421052,2.473684210526316
0.25,0.0,0.1,1.6,0.9,0.4,0.2,0.0,0.3,1.3,0.0,1.6,0.0,0.2,0.8,0.0,1.1,0.0,0.1,1.9,0.6,0.1,0.1,0.1,1.5,0.5,0.1,0.3,0.5,0.8,1.0,0.3,0.4,0.3,0.5,0.2,0.7,1.5,0.0,0.0,2.5,0.0,0.2,0.2,0.0,0.0,1.1,0.8,1.0,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.8,0.2,0.1,0.0,0.3,0.0,0.7,0.5,0.1,2.4,1.0,0.6,1.3,1.1,0.2,0.0,0.3,0.3,0.2,0.5,0.2,0.6,0.0,0.2,0.0,0.2,0.0,0.1,1.2,0.5,2.0,0.2,0.2,0.2,0.0,0.0,0.3,0.0,0.1,1.9,4.0,0.7
0.25,0.25,0.8571428571428571,2.0,1.4285714285714286,0.14285714285714285,0.2857142857142857,0.0,0.0,0.7142857142857143,0.0,3.4285714285714284,0.0,0.0,0.7142857142857143,0.0,1.1428571428571428,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.5714285714285714,1.8571428571428572,0.42857142857142855,0.42857142857142855,0.14285714285714285,1.0,1.4285714285714286,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.0,0.14285714285714285,0.0,0.42857142857142855,1.1428571428571428,0.0,0.0,2.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.7142857142857143,0.2857142857142857,1.1428571428571428,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,1.0,0.5714285714285714,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,1.0,0.0,2.5714285714285716,1.1428571428571428,1.1428571428571428,3.0,1.4285714285714286,0.7142857142857143,0.0,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,0.2857142857142857,1.5714285714285714,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,4.142857142857143,0.14285714285714285
0.25,0.5,0.5384615384615384,1.8461538461538463,0.9230769230769231,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,1.0769230769230769,0.0,2.4615384615384617,0.0,0.23076923076923078,1.2307692307692308,0.0,1.6153846153846154,0.15384615384615385,0.07692307692307693,1.1538461538461537,0.7692307692307693,0.0,0.07692307692307693,0.6923076923076923,1.1538461538461537,0.46153846153846156,0.8461538461538461,0.23076923076923078,0.9230769230769231,0.46153846153846156,1.0,0.46153846153846156,0.6923076923076923,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.6153846153846154,1.0769230769230769,0.0,0.0,3.3846153846153846,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.5384615384615384,0.23076923076923078,0.8461538461538461,0.6153846153846154,0.6923076923076923,0.23076923076923078,0.38461538461538464,0.07692307692307693,0.0,0.0,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.8461538461538461,0.6923076923076923,0.15384615384615385,0.5384615384615384,0.15384615384615385,0.07692307692307693,0.46153846153846156,0.8461538461538461,0.0,2.6153846153846154,0.7692307692307693,1.0,2.230769230769231,1.1538461538461537,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.6923076923076923,0.0,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.15384615384615385,1.0,0.9230769230769231,0.38461538461538464,1.3846153846153846,0.0,0.0,0.5384615384615384,0.0,0.0,0.15384615384615385,0.23076923076923078,0.0,1.3846153846153846,4.461538461538462,1.3076923076923077
0.25,1.0,0.9375,1.6875,1.75,0.125,0.1875,0.3125,0.0625,0.75,0.0,4.25,0.1875,0.125,1.25,0.0625,1.4375,0.375,0.3125,1.75,0.3125,0.0625,0.0,0.5,1.5,1.0625,1.25,0.4375,1.5625,0.625,1.4375,1.25,0.9375,0.25,0.3125,0.25,0.625,1.75,0.0625,0.0625,3.375,0.125,0.3125,0.125,0.0,0.125,0.625,0.8125,1.0,0.5625,0.75,0.5625,0.375,0.1875,0.1875,0.0,0.1875,2.375,0.0625,1.5625,0.5625,0.25,0.1875,0.375,0.125,0.625,0.8125,0.0625,2.75,1.375,1.4375,2.375,1.0625,0.375,0.0,0.4375,0.5625,0.0625,0.4375,0.25,0.3125,0.0625,0.0,0.0625,0.3125,0.625,0.5625,0.9375,0.5625,1.6875,0.0,0.0,0.4375,0.1875,0.0625,0.375,0.3125,0.0625,0.9375,4.5625,0.3125
0.5,0.0,0.2,0.9,1.5,0.1,0.0,0.3,0.1,0.7,0.0,2.3,0.0,0.0,1.5,0.3,1.0,0.0,0.2,1.4,0.3,0.1,0.0,0.1,0.8,0.6,0.1,0.1,0.1,0.1,2.0,1.2,0.9,0.3,0.1,0.4,0.8,1.1,0.0,0.0,3.8,0.0,0.2,0.1,0.0,0.1,1.3,0.7,0.3,0.2,0.8,0.3,0.6,0.0,0.1,0.0,0.4,0.0,0.0,1.0,0.3,0.0,0.1,0.5,0.0,0.3,0.6,0.1,3.1,1.0,1.4,1.5,1.5,0.6,0.0,0.2,0.1,0.1,0.2,1.0,0.5,0.0,0.0,0.1,0.1,0.2,0.4,1.3,0.2,1.6,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.9,4.2,2.0
0.5,0.25,0.0,1.0,0.7272727272727273,0.5454545454545454,0.0,0.09090909090909091,0.0,0.7272727272727273,0.0,2.3636363636363638,0.0,0.2727272727272727,0.45454545454545453,0.0,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.45454545454545453,0.09090909090909091,0.0,0.0,0.9090909090909091,0.7272727272727273,1.5454545454545454,0.2727272727272727,0.8181818181818182,0.2727272727272727,1.0909090909090908,0.6363636363636364,0.7272727272727273,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.9090909090909091,0.0,0.0,3.4545454545454546,0.09090909090909091,0.0,0.2727272727272727,0.0,0.0,0.5454545454545454,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.0,0.36363636363636365,0.36363636363636365,0.0,0.2727272727272727,0.18181818181818182,0.0,2.727272727272727,0.45454545454545453,1.3636363636363635,1.4545454545454546,1.3636363636363635,0.0,0.0,0.09090909090909091,0.36363636363636365,0.0,0.36363636363636365,0.5454545454545454,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.9090909090909091,0.8181818181818182,0.45454545454545453,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.5454545454545454,0.0,0.09090909090909091,1.0,4.090909090909091,2.3636363636363638
