V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122
0.0,0.0,1.8529411764705883,0.8382352941176471,0.029411764705882353,1.1911764705882353,0.27941176470588236,1.0441176470588236,0.014705882352941176,0.9264705882352942,1.0294117647058822,2.2941176470588234,0.1323529411764706,1.2941176470588236,0.19117647058823528,4.9411764705882355,0.0,0.6764705882352942,0.7941176470588235,2.3970588235294117,0.7352941176470589,0.04411764705882353,0.8235294117647058,0.29411764705882354,0.014705882352941176,1.9852941176470589,0.45588235294117646,0.7794117647058824,0.14705882352941177,1.8088235294117647,0.6470588235294118,0.5588235294117647,2.176470588235294,2.2205882352941178,0.14705882352941177,0.5294117647058824,0.07352941176470588,0.25,0.14705882352941177,0.0,0.4852941176470588,0.029411764705882353,0.1323529411764706,0.16176470588235295,0.029411764705882353,0.014705882352941176,0.5441176470588235,0.0,0.5147058823529411,0.20588235294117646,0.6029411764705882,0.029411764705882353,0.014705882352941176,0.1323529411764706,0.29411764705882354,0.0,0.4852941176470588,0.7794117647058824,0.27941176470588236,0.0,0.07352941176470588,0.5735294117647058,0.1323529411764706,0.5441176470588235,0.0,0.22058823529411764,2.3676470588235294,0.3235294117647059,1.1470588235294117,0.6470588235294118,0.29411764705882354,0.4117647058823529,0.11764705882352941,1.2058823529411764,1.2647058823529411,0.8676470588235294,1.1029411764705883,0.029411764705882353,0.19117647058823528,0.17647058823529413,0.20588235294117646,0.23529411764705882,0.029411764705882353,2.8823529411764706,0.6323529411764706,0.5147058823529411,0.029411764705882353,0.0,0.6323529411764706,0.4411764705882353,0.5735294117647058,0.0,1.911764705882353,0.1323529411764706,0.7352941176470589,0.029411764705882353,0.5882352941176471,1.0294117647058822,0.8676470588235294,0.9852941176470589,0.08823529411764706,0.08823529411764706,0.2647058823529412,1.1911764705882353,0.20588235294117646,0.014705882352941176,0.014705882352941176,0.029411764705882353,0.5147058823529411,0.39705882352941174,0.0,0.22058823529411764,0.4852941176470588,0.8529411764705882,0.4264705882352941,0.47058823529411764,5.176470588235294,2.0441176470588234,7.3088235294117645,3.823529411764706,0.22058823529411764,0.7647058823529411
0.0,0.25,1.7777777777777777,1.2777777777777777,0.05555555555555555,0.7777777777777778,0.4444444444444444,1.3333333333333333,0.0,0.9444444444444444,1.7777777777777777,3.0,0.2222222222222222,1.5555555555555556,0.16666666666666666,10.944444444444445,0.0,0.6111111111111112,1.2222222222222223,2.2777777777777777,0.7777777777777778,0.1111111111111111,1.4444444444444444,0.7222222222222222,0.0,1.8333333333333333,0.5,1.3333333333333333,0.2222222222222222,2.3333333333333335,0.7777777777777778,1.3333333333333333,1.7777777777777777,3.8333333333333335,0.2222222222222222,0.6666666666666666,0.0,0.4444444444444444,0.3888888888888889,0.0,0.8888888888888888,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.0,0.0,0.3888888888888889,0.0,0.05555555555555555,0.16666666666666666,0.4444444444444444,0.0,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,0.5555555555555556,1.2222222222222223,0.3888888888888889,0.05555555555555555,0.1111111111111111,0.6111111111111112,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.3333333333333333,2.611111111111111,0.2777777777777778,1.1666666666666667,0.8888888888888888,0.3333333333333333,0.2222222222222222,0.0,1.4444444444444444,1.3333333333333333,0.4444444444444444,0.8333333333333334,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.0,2.7777777777777777,0.7777777777777778,0.5,0.0,0.0,1.0555555555555556,0.2777777777777778,0.7777777777777778,0.0,4.277777777777778,0.1111111111111111,0.6111111111111112,0.16666666666666666,0.4444444444444444,1.1666666666666667,1.5555555555555556,0.5,0.2777777777777778,0.0,0.2222222222222222,0.6666666666666666,0.05555555555555555,0.0,0.0,0.0,0.5555555555555556,0.3888888888888889,0.0,0.2222222222222222,0.8888888888888888,0.6111111111111112,0.5555555555555556,0.6111111111111112,4.222222222222222,3.2222222222222223,6.666666666666667,3.8333333333333335,1.0,1.1111111111111112
0.0,0.5,3.1666666666666665,1.4166666666666667,0.08333333333333333,0.75,0.5833333333333334,0.8333333333333334,0.0,1.3333333333333333,1.4166666666666667,4.666666666666667,0.25,1.0,0.4166666666666667,11.583333333333334,0.0,0.8333333333333334,1.6666666666666667,1.9166666666666667,1.0833333333333333,0.08333333333333333,1.5833333333333333,0.5,0.0,1.6666666666666667,0.25,1.0833333333333333,0.6666666666666666,2.75,0.6666666666666666,0.8333333333333334,0.9166666666666666,5.166666666666667,0.08333333333333333,1.25,0.08333333333333333,0.8333333333333334,1.0833333333333333,0.08333333333333333,0.75,0.0,0.4166666666666667,0.0,0.08333333333333333,0.0,0.8333333333333334,0.08333333333333333,0.16666666666666666,0.25,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,1.8333333333333333,0.16666666666666666,0.0,0.3333333333333333,1.5833333333333333,0.08333333333333333,0.08333333333333333,0.0,0.25,2.8333333333333335,0.4166666666666667,1.8333333333333333,1.1666666666666667,0.4166666666666667,0.16666666666666666,0.08333333333333333,1.1666666666666667,0.75,0.4166666666666667,0.6666666666666666,0.08333333333333333,0.16666666666666666,0.75,0.4166666666666667,0.25,0.0,2.25,0.9166666666666666,0.4166666666666667,0.0,0.08333333333333333,0.75,0.3333333333333333,0.5,0.0,5.333333333333333,0.3333333333333333,0.75,0.0,0.25,1.1666666666666667,2.1666666666666665,0.3333333333333333,0.16666666666666666,0.0,0.25,1.25,0.0,0.08333333333333333,0.0,0.0,1.1666666666666667,0.4166666666666667,0.0,0.0,1.0833333333333333,0.8333333333333334,0.6666666666666666,0.5,4.0,2.9166666666666665,6.333333333333333,4.0,0.5833333333333334,0.6666666666666666
0.0,1.0,1.7857142857142858,0.8571428571428571,0.0,1.0714285714285714,0.14285714285714285,1.0714285714285714,0.14285714285714285,1.6428571428571428,1.5,1.5714285714285714,0.0,1.3571428571428572,0.42857142857142855,11.0,0.0,0.8571428571428571,1.8571428571428572,2.642857142857143,0.6428571428571429,0.07142857142857142,1.3571428571428572,0.35714285714285715,0.0,2.2142857142857144,0.5,1.1428571428571428,0.2857142857142857,2.5,0.5,0.2857142857142857,4.285714285714286,2.4285714285714284,0.42857142857142855,0.8571428571428571,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.0,0.7857142857142857,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.0,0.0,0.14285714285714285,0.0,0.0,0.35714285714285715,1.2857142857142858,0.35714285714285715,0.0,0.07142857142857142,1.3571428571428572,0.14285714285714285,0.21428571428571427,0.0,0.21428571428571427,2.2857142857142856,0.0,1.2857142857142858,1.4285714285714286,0.5,0.5714285714285714,0.07142857142857142,0.7857142857142857,1.2857142857142858,0.21428571428571427,0.7142857142857143,0.07142857142857142,0.21428571428571427,0.0,0.2857142857142857,0.7142857142857143,0.0,2.0714285714285716,0.8571428571428571,1.2142857142857142,0.0,0.07142857142857142,0.8571428571428571,0.42857142857142855,0.21428571428571427,0.0,4.785714285714286,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.35714285714285715,0.8571428571428571,1.5,0.35714285714285715,0.21428571428571427,0.0,0.21428571428571427,0.9285714285714286,0.14285714285714285,0.0,0.0,0.07142857142857142,0.7857142857142857,0.5,0.0,0.2857142857142857,0.6428571428571429,0.6428571428571429,0.5,0.8571428571428571,3.642857142857143,4.071428571428571,6.357142857142857,4.071428571428571,0.2857142857142857,1.3571428571428572
0.25,0.0,1.75,0.8333333333333334,0.16666666666666666,1.0,0.25,0.5833333333333334,0.0,0.8333333333333334,1.0,3.5,0.08333333333333333,1.1666666666666667,0.5,10.083333333333334,0.0,0.3333333333333333,0.8333333333333334,2.3333333333333335,0.5,0.0,0.5833333333333334,0.4166666666666667,0.0,1.25,0.3333333333333333,1.3333333333333333,0.25,1.5,0.6666666666666666,0.4166666666666667,1.5,3.4166666666666665,0.25,0.4166666666666667,0.08333333333333333,0.75,0.25,0.0,0.75,0.0,0.0,0.25,0.0,0.16666666666666666,0.25,0.0,0.5,0.25,0.0,0.0,0.8333333333333334,0.25,0.08333333333333333,0.0,0.5,1.3333333333333333,0.16666666666666666,0.0,0.08333333333333333,1.3333333333333333,0.08333333333333333,0.25,0.0,0.4166666666666667,2.5833333333333335,0.16666666666666666,1.25,0.75,0.08333333333333333,0.5,0.0,1.75,1.5833333333333333,0.8333333333333334,0.3333333333333333,0.0,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,3.5,1.8333333333333333,0.75,0.0,0.0,0.5,0.75,1.1666666666666667,0.0,3.0833333333333335,0.25,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,1.25,0.8333333333333334,0.08333333333333333,0.0,0.4166666666666667,1.75,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,1.0,0.0,0.08333333333333333,0.5,1.4166666666666667,0.5833333333333334,0.75,5.25,2.4166666666666665,7.416666666666667,2.6666666666666665,0.0,0.6666666666666666
0.25,0.25,1.25,1.0,0.0,0.75,0.0,1.5,0.0,0.25,2.75,1.75,0.5,1.25,0.25,11.0,0.0,1.0,2.25,3.25,0.25,0.0,0.75,0.5,0.0,5.25,1.0,1.0,0.75,2.75,1.25,0.25,4.75,2.0,0.0,1.25,0.0,0.25,0.5,0.0,0.75,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.25,0.25,0.0,1.0,1.0,0.0,0.25,0.5,0.25,0.0,0.0,0.25,0.75,0.0,0.0,0.0,1.0,2.0,0.0,1.5,0.75,0.25,0.75,0.0,0.25,1.75,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,3.25,1.5,0.75,0.0,0.0,0.0,1.0,2.0,0.0,4.5,0.25,1.0,0.0,0.5,0.25,0.75,1.25,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.5,0.75,0.5,5.5,2.5,7.5,4.0,0.75,1.25
0.25,0.5,1.6666666666666667,1.0833333333333333,0.25,0.8333333333333334,0.5,0.9166666666666666,0.0,1.5833333333333333,1.25,3.5833333333333335,0.75,1.1666666666666667,0.25,9.583333333333334,0.0,0.3333333333333333,1.6666666666666667,1.8333333333333333,0.75,0.0,0.8333333333333334,0.5833333333333334,0.0,1.3333333333333333,0.5833333333333334,0.8333333333333334,0.3333333333333333,2.3333333333333335,0.5833333333333334,0.6666666666666666,2.6666666666666665,2.0,0.16666666666666666,0.75,0.0,0.75,0.16666666666666666,0.0,0.9166666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.08333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.75,0.0,0.0,0.25,0.0,0.08333333333333333,0.16666666666666666,2.4166666666666665,0.08333333333333333,0.0,0.08333333333333333,1.1666666666666667,0.4166666666666667,0.16666666666666666,0.0,0.4166666666666667,2.4166666666666665,0.5,1.6666666666666667,1.0833333333333333,0.25,0.3333333333333333,0.0,0.9166666666666666,1.8333333333333333,0.5833333333333334,0.75,0.08333333333333333,0.5833333333333334,0.25,0.5,0.3333333333333333,0.0,2.9166666666666665,0.8333333333333334,0.3333333333333333,0.0,0.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.0,4.0,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.8333333333333334,1.6666666666666667,0.75,0.16666666666666666,0.0,0.3333333333333333,1.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.6666666666666666,0.4166666666666667,0.08333333333333333,0.08333333333333333,1.0,1.0,0.75,0.6666666666666666,4.916666666666667,4.416666666666667,6.0,4.916666666666667,1.1666666666666667,2.1666666666666665
0.25,1.0,1.4615384615384615,1.7692307692307692,0.15384615384615385,0.6923076923076923,0.23076923076923078,1.4615384615384615,0.0,1.3846153846153846,2.769230769230769,3.1538461538461537,0.6153846153846154,1.0769230769230769,0.38461538461538464,15.153846153846153,0.0,0.6153846153846154,1.0769230769230769,1.9230769230769231,0.6923076923076923,0.0,1.1538461538461537,0.5384615384615384,0.07692307692307693,1.9230769230769231,0.07692307692307693,1.3076923076923077,0.46153846153846156,2.076923076923077,0.6153846153846154,0.38461538461538464,2.4615384615384617,3.6153846153846154,0.07692307692307693,0.6153846153846154,0.15384615384615385,0.6153846153846154,1.6153846153846154,0.0,1.1538461538461537,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.0,0.46153846153846156,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.23076923076923078,1.6153846153846154,0.38461538461538464,0.0,0.0,1.0769230769230769,0.46153846153846156,0.0,0.0,0.7692307692307693,2.4615384615384617,0.15384615384615385,1.2307692307692308,0.9230769230769231,0.46153846153846156,0.5384615384615384,0.0,1.8461538461538463,1.3846153846153846,0.7692307692307693,0.8461538461538461,0.0,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.0,1.6923076923076923,1.6923076923076923,0.7692307692307693,0.0,0.0,1.3846153846153846,0.46153846153846156,1.0,0.0,6.076923076923077,0.46153846153846156,0.5384615384615384,0.3076923076923077,0.23076923076923078,0.6923076923076923,2.4615384615384617,0.5384615384615384,0.15384615384615385,0.0,0.23076923076923078,1.3076923076923077,0.38461538461538464,0.0,0.0,0.0,0.5384615384615384,0.3076923076923077,0.0,0.0,0.9230769230769231,1.1538461538461537,1.2307692307692308,0.8461538461538461,3.4615384615384617,3.8461538461538463,5.076923076923077,3.1538461538461537,1.0769230769230769,0.6923076923076923
0.5,0.0,1.3571428571428572,0.7142857142857143,0.07142857142857142,1.0,0.21428571428571427,1.0,0.0,1.5,1.2142857142857142,2.5,0.7857142857142857,1.0,0.2857142857142857,8.785714285714286,0.0,0.5,1.4285714285714286,2.5,0.5,0.0,1.1428571428571428,0.35714285714285715,0.0,1.0,0.5,1.2142857142857142,0.21428571428571427,1.8571428571428572,0.6428571428571429,0.6428571428571429,1.2857142857142858,3.7857142857142856,0.21428571428571427,1.2142857142857142,0.0,0.21428571428571427,0.6428571428571429,0.0,0.5714285714285714,0.07142857142857142,0.0,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.21428571428571427,1.3571428571428572,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.0,0.6428571428571429,1.2857142857142858,0.6428571428571429,0.0,0.07142857142857142,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.21428571428571427,3.0714285714285716,0.0,1.3571428571428572,1.4285714285714286,0.8571428571428571,0.7142857142857143,0.0,1.7142857142857142,0.8571428571428571,0.21428571428571427,0.5714285714285714,0.0,0.5,0.0,0.2857142857142857,0.2857142857142857,0.0,2.0,0.5714285714285714,0.6428571428571429,0.0,0.0,0.8571428571428571,0.5,0.7857142857142857,0.0,3.7857142857142856,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.35714285714285715,1.0714285714285714,0.8571428571428571,1.4285714285714286,0.07142857142857142,0.21428571428571427,0.35714285714285715,1.3571428571428572,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.7857142857142857,0.6428571428571429,0.7142857142857143,5.928571428571429,5.428571428571429,7.785714285714286,4.142857142857143,0.5714285714285714,1.0714285714285714
0.5,0.25,0.9375,0.6875,0.0625,0.75,0.1875,0.8125,0.0,1.625,0.625,2.8125,0.3125,0.9375,0.125,4.8125,0.0,0.3125,1.125,2.875,0.625,0.0,0.875,0.375,0.0625,1.875,0.8125,0.9375,0.25,1.4375,0.625,0.75,3.4375,3.0625,0.25,1.0,0.0,0.5,0.1875,0.0,0.625,0.0625,0.0,0.125,0.125,0.0,0.3125,0.0625,1.75,0.125,1.1875,0.0,0.375,0.0,0.0625,0.0,0.5,1.6875,0.3125,0.0625,0.125,0.75,0.375,2.5625,0.0,0.5,2.5625,0.25,1.4375,0.5,0.375,0.4375,0.0,1.5625,1.5625,0.375,0.5625,0.0625,0.125,0.125,0.375,0.1875,0.0,2.1875,0.5,0.875,0.0,0.0,0.4375,0.8125,0.8125,0.0,3.875,0.1875,0.5,0.125,0.25,0.6875,1.625,1.1875,0.3125,0.0,0.375,1.3125,0.625,0.0,0.0,0.0625,0.875,0.5625,0.0,0.5625,0.375,0.8125,0.3125,0.5625,4.0625,4.5,6.9375,5.0,1.8125,1.6875
